No.,ScientificName,GBIF Dataset DOI
1,Phascolarctos cinereus,10.15468/dl.ngdgdf
2,Macropus giganteus,10.15468/dl.mwq83k
3,Dromaius novaehollandiae,10.15468/dl.q6ntx8
4,Tursiops aduncus,10.15468/dl.turqca
5,Threskiornis molucca,10.15468/dl.dcf8z5
6,Gymnorhina tibicen ,10.15468/dl.beeava
7,Platycercus elegans ,10.15468/dl.3h5yun
8,Cacatua galerita,10.15468/dl.xct7rr
9,Chroicocephalus novaehollandiae,10.15468/dl.uxppd7
10,Thalasseus bergii,10.15468/dl.zyrksy
11,Vanellus miles,10.15468/dl.cc4rst
12,Anas superciliosa,10.15468/dl.s6amdf
13,Chenonetta jubata,10.15468/dl.8f3bs2
14,Cygnus atratus,10.15468/dl.t9nhmr
15,Wallabia bicolor,10.15468/dl.tpqnea
16,Trichosurus vulpecula,10.15468/dl.972pd7
17,Pteropus poliocephalus,10.15468/dl.jt993b
18,Rattus fuscipes,10.15468/dl.fcqxzk
19,Vulpes vulpes,10.15468/dl.ku99bz
20,Canis lupus,10.15468/dl.hr45jg
21,Mirounga leonina,10.15468/dl.uhu6mh
22,Tiliqua scincoides,10.15468/dl.xwbwmj
23,Mus musculus,10.15468/dl.bm9dwz
24,Ctenophorus nuchalis,10.15468/dl.fwqa9w
25,Pogona barbata,10.15468/dl.j6kru2
26,Chelonia mydas,10.15468/dl.mxbtfd
27,Eretmochelys imbricata,10.15468/dl.9mbtjn
28,Litoria peronii,10.15468/dl.6emkde
29,Ranoidea aurea,10.15468/dl.ckg3rg
30,Crinia signifera,10.15468/dl.296y4f
31,Carcharhinus melanopterus,10.15468/dl.cdwhsz
32,Galeorhinus galeus,10.15468/dl.a49473
33,Bathytoshia brevicaudata,10.15468/dl.sf5yrn
34,Dicathais orbita,10.15468/dl.y8qbmu
35,Conus anemone,10.15468/dl.tmb3n8
36,Heliocidaris erythrogramma,10.15468/dl.r3qy5s
37,Pseudonaja textilis,10.15468/dl.9mffhv
38,Camelus dromedarius,10.15468/dl.jerz2c
39,Sarcophilus harrisii,10.15468/dl.c48jh4
40,Ornithorhynchus anatinus,10.15468/dl.75m28s
41,Vombatus ursinus,10.15468/dl.2m245q
42,Dasyurus maculatus,10.15468/dl.56yd2y
43,Dacelo novaeguineae,10.15468/dl.8as6v8
44,Trichonephila edulis ,10.15468/dl.az7xvm
45,Tachyglossus aculeatus,10.15468/dl.yrqufb
46,Pastinachus ater,10.15468/dl.j7b2mz
47,Casuarius casuarius,10.15468/dl.h9j8dv
48,Conus coronatus,10.15468/dl.vtfznd
49,Trichonephila plumipes,10.15468/dl.8cw3hh
50,Litoria fallax,10.15468/dl.jszhhw
